published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-01-20,209.9,214.0,206.8,207.0,0.58,194243.0,40850280.6,0
2025-01-21,210.0,211.0,207.0,208.5,0.72,84172.0,17590048.7,0
2025-01-22,209.0,213.6,208.3,211.6,1.49,93954.0,19790684.7,0
2025-01-23,214.0,214.9,210.0,211.0,-0.28,77298.0,16395358.6,0
2025-01-24,214.0,214.9,210.0,211.0,-0.28,77298.0,16395358.6,0
2025-01-25,214.0,214.9,210.0,211.0,-0.28,77298.0,16395358.6,0
2025-01-26,207.0,214.3,207.0,208.0,-1.42,81668.0,17030796.1,0
2025-01-27,204.0,212.1,204.0,208.0,0.0,52532.0,10904619.7,0
2025-01-28,206.1,209.4,206.1,208.5,0.24,99192.0,20625938.6,0
2025-01-29,206.1,209.4,206.1,208.5,0.24,99192.0,20625938.6,0
2025-01-30,206.1,209.4,206.1,208.5,0.24,99192.0,20625938.6,0
2025-01-31,206.1,209.4,206.1,208.5,0.24,99192.0,20625938.6,0
2025-02-01,206.1,209.4,206.1,208.5,0.24,99192.0,20625938.6,0
2025-02-02,208.0,214.6,208.0,213.5,2.4,179177.0,38020769.8,0
2025-02-03,213.5,219.9,213.5,215.5,0.94,136331.0,29549250.0,0
2025-02-04,218.8,219.8,213.0,213.0,-1.16,134633.0,29003555.7,0
2025-02-05,213.0,215.9,210.5,213.0,0.0,71186.0,15089747.1,0
2025-02-06,214.9,214.9,210.1,211.8,-0.56,80046.0,16878389.5,0
2025-02-07,214.9,214.9,210.1,211.8,-0.56,80046.0,16878389.5,0
2025-02-08,214.9,214.9,210.1,211.8,-0.56,80046.0,16878389.5,0
2025-02-09,211.8,213.0,209.1,211.0,-0.38,74178.0,15617621.8,0
2025-02-10,207.0,213.0,207.0,210.2,-0.38,87919.0,18521269.6,0
2025-02-11,209.0,214.0,209.0,210.0,-0.1,89489.0,18864787.4,0
2025-02-12,213.9,215.0,209.9,210.2,0.1,106648.0,22612954.3,0
2025-02-13,209.0,214.0,209.0,210.2,0.0,67551.0,14278293.3,0
2025-02-14,209.0,214.0,209.0,210.2,0.0,67551.0,14278293.3,0
2025-02-15,209.0,214.0,209.0,210.2,0.0,67551.0,14278293.3,0
2025-02-16,210.0,213.0,209.6,212.0,0.86,90629.0,19129614.1,0
2025-02-17,214.0,220.3,211.1,218.0,2.83,230318.0,50084035.1,0
2025-02-18,213.7,225.4,213.7,220.0,0.92,219012.0,48608772.5,0
