Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
11/3/2021,MLBL,SELL,241,803,193523,47959,Take Profit (25% gain)
11/3/2021,HPPL,BUY,310,525,-162750,0,Trend Entry
11/8/2021,AHPC,BUY,60,518,-31080,0,Trend Entry
11/9/2021,ICFC,SELL,142,956.7,135851.4,11090.2,Trailing Stop (7% drop)
11/9/2021,HPPL,SELL,310,486,150660,-12090,Trailing Stop (7% drop)
11/9/2021,MLBL,BUY,197,793.8,-156378.6,0,Trend Entry
11/11/2021,AHPC,SELL,60,469,28140,-2940,Trailing Stop (7% drop)
11/11/2021,MLBL,SELL,197,714.5,140756.5,-15622.1,Trailing Stop (7% drop)
11/11/2021,MEGA,BUY,448,337.5,-151200,0,Trend Entry
11/14/2021,JBBL,BUY,264,560,-147840,0,Trend Entry
11/23/2021,NABIL,SELL,103,1537,158311,5665,Trailing Stop (7% drop)
11/23/2021,JOSHI,BUY,399,371,-148029,0,Trend Entry
11/24/2021,DHPL,BUY,30,352,-10560,0,Trend Entry
11/25/2021,JBBL,SELL,264,531,140184,-7656,Trailing Stop (7% drop)
11/25/2021,BARUN,BUY,279,503,-140337,0,Trend Entry
11/28/2021,LICN,SELL,72,1921.1,138319.2,-10720.8,Trailing Stop (7% drop)
11/28/2021,JOSHI,SELL,399,375,149625,1596,Trailing Stop (7% drop)
11/28/2021,DHPL,SELL,30,323,9690,-870,Trailing Stop (7% drop)
11/28/2021,ICFC,BUY,154,932,-143528,0,Trend Entry
11/29/2021,ICFC,SELL,154,838.8,129175.2,-14352.8,Trailing Stop (7% drop)
11/30/2021,MEGA,SELL,448,285,127680,-23520,Trailing Stop (7% drop)
11/30/2021,ICFC,BUY,153,890,-136170,0,Trend Entry
12/2/2021,ICFC,SELL,153,816,124848,-11322,Trailing Stop (7% drop)
12/5/2021,BARUN,SELL,279,450,125550,-14787,Trailing Stop (7% drop)
12/28/2021,NBB,BUY,355,369,-130995,0,Trend Entry
12/29/2021,ADBL,BUY,272,492,-133824,0,Trend Entry
1/2/2022,ADBL,SELL,272,411,111792,-22032,Trailing Stop (7% drop)
1/3/2022,CIT,BUY,38,3309.9,-125776.2,0,Trend Entry
1/4/2022,SANIMA,BUY,338,381.9,-129082.2,0,Trend Entry
1/5/2022,CZBIL,BUY,400,293.1,-117240,0,Trend Entry
1/24/2022,SANIMA,SELL,338,367,124046,-5036.2,Trailing Stop (7% drop)
1/24/2022,LICN,BUY,39,2344,-91416,0,Trend Entry
1/25/2022,CZBIL,SELL,400,294.2,117680,440,Trailing Stop (7% drop)
1/25/2022,RLI,BUY,163,568,-92584,0,Trend Entry
1/26/2022,CIT,SELL,38,3306,125628,-148.2,Trailing Stop (7% drop)
1/30/2022,PROFL,BUY,224,411.9,-92265.6,0,Trend Entry
1/31/2022,AKJCL,BUY,284,320.1,-90908.4,0,Trend Entry
2/7/2022,LICN,SELL,39,2005,78195,-13221,Trailing Stop (7% drop)
2/7/2022,NHPC,BUY,182,431.2,-78478.4,0,Trend Entry
2/13/2022,PROFL,SELL,224,370,82880,-9385.6,Trailing Stop (7% drop)
2/13/2022,AKJCL,SELL,284,301,85484,-5424.4,Trailing Stop (7% drop)
2/15/2022,BARUN,BUY,158,540,-85320,0,Trend Entry
2/27/2022,NHPC,SELL,182,366,66612,-11866.4,Trailing Stop (7% drop)
2/27/2022,DHPL,BUY,235,351,-82485,0,Trend Entry
2/28/2022,DHPL,SELL,235,321,75435,-7050,Trailing Stop (7% drop)
3/2/2022,BARUN,SELL,158,513.9,81196.2,-4123.8,Trailing Stop (7% drop)
3/6/2022,RLI,SELL,163,539,87857,-4727,Trailing Stop (7% drop)
3/23/2022,JBBL,BUY,184,422,-77648,0,Trend Entry
3/24/2022,LICN,BUY,36,2101.2,-75643.2,0,Trend Entry
3/28/2022,RLI,BUY,135,569,-76815,0,Trend Entry
3/29/2022,JBBL,SELL,184,389,71576,-6072,Trailing Stop (7% drop)
4/5/2022,LICN,SELL,36,1951,70236,-5407.2,Trailing Stop (7% drop)
4/5/2022,RLI,SELL,135,535,72225,-4590,Trailing Stop (7% drop)
4/27/2022,NICA,BUY,94,781.8,-73489.2,0,Trend Entry
5/17/2022,BARUN,BUY,157,468,-73476,0,Trend Entry
5/20/2022,NHPC,BUY,266,279,-74214,0,Trend Entry
5/31/2022,NHPC,SELL,266,259,68894,-5320,Trailing Stop (7% drop)
6/2/2022,NICA,SELL,94,744.5,69983,-3506.2,Trailing Stop (7% drop)
6/2/2022,MEGA,BUY,301,237,-71337,0,Trend Entry
6/3/2022,BARUN,SELL,157,445,69865,-3611,Trailing Stop (7% drop)
6/8/2022,BARUN,BUY,148,474,-70152,0,Trend Entry
6/15/2022,BARUN,SELL,148,435.9,64513.2,-5638.8,Trailing Stop (7% drop)
7/1/2022,LICN,BUY,35,1469,-51415,0,Trend Entry
7/3/2022,CIT,BUY,19,2664,-50616,0,Trend Entry
7/4/2022,BARUN,BUY,111,459,-50949,0,Trend Entry
7/5/2022,ICFC,BUY,115,437.2,-50278,0,Trend Entry
7/11/2022,LICN,SELL,35,1415,49525,-1890,Trailing Stop (7% drop)
7/11/2022,CIT,SELL,19,2429,46151,-4465,Trailing Stop (7% drop)
7/11/2022,BARUN,SELL,111,412,45732,-5217,Trailing Stop (7% drop)
7/11/2022,ICFC,SELL,115,413,47495,-2783,Trailing Stop (7% drop)
7/13/2022,JOSHI,BUY,230,208,-47840,0,Trend Entry
7/14/2022,NHPC,BUY,194,246,-47724,0,Trend Entry
7/15/2022,PROFL,BUY,192,246,-47232,0,Trend Entry
7/17/2022,NABIL,BUY,56,830,-46480,0,Trend Entry
8/2/2022,PROFL,SELL,192,320,61440,14208,Take Profit (25% gain)
8/2/2022,KKHC,BUY,227,242,-54934,0,Trend Entry
8/4/2022,PROFL,BUY,28,314,-8792,0,Trend Entry
8/5/2022,JOSHI,SELL,230,260,59800,11960,Take Profit (25% gain)
