Date,Cash,Total_Portfolio_Value
2022-10-27,1615.0500000000102,473248.55000000005
2022-10-28,1615.0500000000102,473248.55000000005
2022-10-29,1615.0500000000102,473248.55000000005
2022-10-30,1615.0500000000102,473248.55000000005
2022-10-31,1615.0500000000102,478837.45000000007
2022-11-01,1438.0500000000102,485966.25000000006
2022-11-02,1438.0500000000102,487194.55000000005
2022-11-03,2791.05000000001,482666.45000000007
2022-11-04,151.0500000000102,486659.45000000007
2022-11-05,151.0500000000102,484019.45000000007
2022-11-06,425.5500000000102,486111.55000000005
2022-11-07,425.5500000000102,484653.75000000006
2022-11-08,425.5500000000102,483000.35000000003
2022-11-09,1532.5500000000102,477795.05
2022-11-10,1532.5500000000102,477393.75
2022-11-11,1532.5500000000102,477393.75
2022-11-12,1532.5500000000102,477393.75
2022-11-13,2941.3500000000095,473820.45000000007
2022-11-14,376.35000000000946,478570.75
2022-11-15,376.35000000000946,475320.85
2022-11-16,376.35000000000946,477491.25
2022-11-17,376.35000000000946,481215.95
2022-11-18,376.35000000000946,481215.95
2022-11-19,376.35000000000946,481215.95
2022-11-20,376.35000000000946,481215.95
2022-11-21,376.35000000000946,481215.95
2022-11-22,376.35000000000946,480711.85
2022-11-23,376.35000000000946,477989.15
2022-11-24,376.35000000000946,479665.55
2022-11-25,376.35000000000946,479665.55
2022-11-26,376.35000000000946,479665.55
2022-11-27,938.8500000000095,480062.05
2022-11-28,938.8500000000095,477391.45
2022-11-29,61.250000000007276,471094.14999999997
2022-11-30,3568.5500000000175,464496.35000000003
2022-12-01,901.5500000000175,472035.15
2022-12-02,901.5500000000175,469368.15
2022-12-03,901.5500000000175,469368.15
2022-12-04,901.5500000000175,468004.15
2022-12-05,4731.5500000000175,460913.35000000003
2022-12-06,1038.5500000000175,466950.85000000003
2022-12-07,1264.0500000000175,460878.95000000007
2022-12-08,1264.0500000000175,461104.45000000007
2022-12-09,1264.0500000000175,461104.45000000007
2022-12-10,1264.0500000000175,461104.45000000007
2022-12-11,2692.3500000000204,456618.85000000003
2022-12-12,3307.3500000000204,459279.95000000007
2022-12-13,742.3500000000204,462016.95
2022-12-14,742.3500000000204,459161.35000000003
2022-12-15,742.3500000000204,456374.85000000003
2022-12-16,742.3500000000204,456374.85000000003
2022-12-17,742.3500000000204,456374.85000000003
2022-12-18,31290.950000000026,418153.85000000003
2022-12-19,1582.5500000000266,479503.95000000007
2022-12-20,1582.5500000000266,451359.75
2022-12-21,1582.5500000000266,449279.35000000003
2022-12-22,894.050000000027,448882.55000000005
2022-12-23,894.050000000027,448194.05000000005
2022-12-24,894.050000000027,448194.05000000005
2022-12-25,894.050000000027,448194.05000000005
2022-12-26,894.050000000027,459481.65
2022-12-27,31549.650000000023,438112.95
2022-12-28,4721.050000000025,493812.75000000006
2022-12-29,236.05000000002474,481685.55000000005
2022-12-30,236.05000000002474,477200.55000000005
2022-12-31,236.05000000002474,477200.55000000005
2023-01-01,150.45000000002437,479145.55000000005
2023-01-02,2145.4500000000244,478353.55
2023-01-03,2145.4500000000244,478598.05000000005
2023-01-04,1196.650000000027,488488.15
2023-01-05,983.6500000000269,491784.65
2023-01-06,983.6500000000269,491571.65
2023-01-07,983.6500000000269,491571.65
2023-01-08,1753.150000000027,492602.85000000003
2023-01-09,11676.050000000027,495705.45000000007
2023-01-10,2.5500000000265572,521183.15
2023-01-11,2.5500000000265572,509509.65
2023-01-12,2.5500000000265572,501801.05000000005
2023-01-13,2.5500000000265572,501801.05000000005
2023-01-14,2.5500000000265572,501801.05000000005
2023-01-15,2.5500000000265572,501801.05000000005
2023-01-16,2.5500000000265572,501801.05000000005
2023-01-17,2.5500000000265572,505004.45000000007
2023-01-18,1832.5500000000266,503607.05000000005
2023-01-19,1832.5500000000266,505987.35000000003
2023-01-20,1832.5500000000266,505987.35000000003
2023-01-21,1832.5500000000266,505987.35000000003
2023-01-22,1832.5500000000266,505987.35000000003
2023-01-23,606.4500000000262,501713.75
2023-01-24,606.4500000000262,501464.95
2023-01-25,606.4500000000262,501466.15
2023-01-26,2520.3500000000276,496905.85000000003
2023-01-27,2520.3500000000276,498819.75000000006
2023-01-28,2520.3500000000276,498819.75000000006
2023-01-29,2520.3500000000276,496851.35000000003
2023-01-30,201.35000000002765,493041.85
2023-01-31,130.85000000002765,487791.1500000001
2023-02-01,11.350000000027649,487867.55000000005
2023-02-02,1121.3500000000276,482487.25000000006
2023-02-03,1121.3500000000276,483597.25000000006
2023-02-04,1121.3500000000276,483597.25000000006
2023-02-05,1121.3500000000276,485662.75000000006
2023-02-06,662.3500000000276,485770.45000000007
2023-02-07,312.85000000002765,499381.65
2023-02-08,312.85000000002765,498269.15
2023-02-09,312.85000000002765,500214.95000000007
2023-02-10,312.85000000002765,500214.95000000007
