SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2021-06-20,KKHC,SELL,599,280.0,167720.0,-1797.0,Trailing Stop (7% drop)
2021-06-20,CIT,BUY,40,4150.0,-166000.0,0.0,Trend Entry
2021-06-21,NBB,SELL,348,398.0,138504.0,6612.0,Trailing Stop (7% drop)
2021-06-21,MEGA,SELL,476,358.0,170408.0,10472.0,Trailing Stop (7% drop)
2021-06-22,CIT,SELL,40,3785.0,151400.0,-14600.0,Trailing Stop (7% drop)
2021-06-22,ADBL,BUY,340,482.0,-163880.0,0.0,Trend Entry
2021-06-23,NHPC,BUY,503,323.0,-162469.0,0.0,Trend Entry
2021-06-24,KKHC,BUY,564,290.0,-163560.0,0.0,Trend Entry
2021-06-28,MEGA,BUY,347,372.0,-129084.0,0.0,Trend Entry
2021-06-29,KKHC,SELL,564,269.0,151716.0,-11844.0,Trailing Stop (7% drop)
2021-06-30,BARUN,BUY,281,541.0,-152021.0,0.0,Trend Entry
2021-07-05,NHPC,SELL,503,305.0,153415.0,-9054.0,Trailing Stop (7% drop)
2021-07-06,BARUN,SELL,281,503.0,141343.0,-10678.0,Trailing Stop (7% drop)
2021-07-06,NICA,BUY,168,916.0,-153888.0,0.0,Trend Entry
2021-07-07,EDBL,BUY,182,773.0,-140686.0,0.0,Trend Entry
2021-07-25,EDBL,SELL,182,1001.0,182182.0,41496.0,Take Profit (25% gain)
2021-07-25,NHPC,BUY,533,342.0,-182286.0,0.0,Trend Entry
2021-08-16,NICA,SELL,168,988.0,165984.0,12096.0,Trailing Stop (7% drop)
2021-08-16,NHPC,SELL,533,438.9,233933.69999999998,51647.69999999998,Take Profit (25% gain)
2021-08-16,NBB,BUY,389,497.0,-193333.0,0.0,Trend Entry
2021-08-17,KKHC,BUY,379,505.7,-191660.3,0.0,Trend Entry
2021-08-18,JOSHI,BUY,31,472.0,-14632.0,0.0,Trend Entry
2021-08-19,KKHC,SELL,379,441.0,167139.0,-24521.29999999999,Trailing Stop (7% drop)
2021-08-19,AHPC,BUY,240,697.0,-167280.0,0.0,Trend Entry
2021-08-24,MEGA,SELL,347,372.0,129084.0,0.0,Trailing Stop (7% drop)
2021-08-24,JOSHI,SELL,31,403.2,12499.199999999999,-2132.800000000001,Trailing Stop (7% drop)
2021-08-24,CZBIL,BUY,339,418.2,-141769.8,0.0,Trend Entry
2021-08-29,NBB,SELL,389,456.0,177384.0,-15949.0,Trailing Stop (7% drop)
2021-08-29,MLBL,BUY,257,690.0,-177330.0,0.0,Trend Entry
2021-08-31,ADBL,SELL,340,544.0,184960.0,21080.0,Trailing Stop (7% drop)
2021-08-31,PROFL,BUY,328,535.0,-175480.0,0.0,Trend Entry
2021-09-02,AHPC,SELL,240,694.0,166560.0,-720.0,Trailing Stop (7% drop)
2021-09-02,MLBL,SELL,257,635.0,163195.0,-14135.0,Trailing Stop (7% drop)
2021-09-05,PCBL,SELL,77,485.0,37345.0,539.0,Trailing Stop (7% drop)
2021-09-06,AHPC,BUY,246,705.6,-173577.6,0.0,Trend Entry
2021-09-07,KKHC,BUY,413,409.7,-169206.1,0.0,Trend Entry
2021-09-08,PROFL,SELL,328,501.0,164328.0,-11152.0,Trailing Stop (7% drop)
2021-09-12,KSBBL,BUY,234,731.0,-171054.0,0.0,Trend Entry
2021-09-13,NHPC,BUY,58,466.0,-27028.0,0.0,Trend Entry
2021-09-15,AHPC,SELL,246,675.3,166123.8,-7453.8000000000175,Trailing Stop (7% drop)
2021-09-16,KKHC,SELL,413,383.3,158302.9,-10903.200000000012,Trailing Stop (7% drop)
2021-09-16,NHPC,SELL,58,432.0,25056.0,-1972.0,Trailing Stop (7% drop)
2021-09-20,CZBIL,SELL,339,382.3,129599.7,-12170.099999999991,Trailing Stop (7% drop)
2021-09-20,KSBBL,SELL,234,640.0,149760.0,-21294.0,Trailing Stop (7% drop)
2021-09-22,NHPC,BUY,350,449.0,-157150.0,0.0,Trend Entry
2021-09-28,NHPC,SELL,350,403.0,141050.0,-16100.0,Trailing Stop (7% drop)
2021-10-06,SANIMA,BUY,301,509.0,-153209.0,0.0,Trend Entry
2021-10-17,NABIL,BUY,103,1482.0,-152646.0,0.0,Trend Entry
2021-10-24,SANIMA,SELL,301,402.0,121002.0,-32207.0,Trailing Stop (7% drop)
2021-10-24,MLBL,BUY,239,604.0,-144356.0,0.0,Trend Entry
2021-10-28,LICN,BUY,72,2070.0,-149040.0,0.0,Trend Entry
