Date,Stock,Action,Qty,Price,Total_Amount,Cash_In_Hand,TMS_Khata_Value,Profit_Loss,Gain_Loss_Pct,Portfolio_Value,Reason
"Apr 23, 2017",NMB,BUY,64.0,647.0,-41408.0,252562.0,582021.0,0.0,0.00%,834583.0,Trend Entry (Str: 0.16)
"May 07, 2017",NMB,SELL,64.0,599.0,38336.0,284758.0,498610.0,-3072.0,-7.42%,783368.0,Trailing Stop (7% drop) - exactly 7.42% drop
"Jul 20, 2017",NMB,BUY,68.0,559.0,-38012.0,53283.0,707366.0,0.0,0.00%,760649.0,Trend Entry (Str: 0.01)
"Aug 28, 2017",NMB,SELL,68.0,517.0,35156.0,398484.0,339376.0,-2856.0,-7.51%,737860.0,Trailing Stop (7% drop) - exactly 7.51% drop
"Oct 24, 2017",NMB,BUY,74.0,487.0,-36038.0,311604.0,409322.0,0.0,0.00%,720926.0,Trend Entry (Str: 0.01)
"Dec 27, 2017",NMB,SELL,74.0,456.0,33744.0,345392.0,304482.0,-2294.0,-6.37%,649874.0,Trailing Stop (7% drop) - exactly 7.13% drop
"Feb 05, 2018",NMB,BUY,68.0,474.0,-32232.0,470504.0,176593.0,0.0,0.00%,647097.0,Trend Entry (Str: 0.03)
"Mar 04, 2018",NMB,SELL,68.0,440.0,29920.0,434919.0,203652.0,-2312.0,-7.17%,638571.0,Trailing Stop (7% drop) - exactly 8.52% drop
"Apr 12, 2018",NMB,BUY,71.0,445.0,-31595.0,499822.0,134896.0,0.0,0.00%,634718.0,Trend Entry (Str: 0.03)
"May 24, 2018",NMB,SELL,71.0,450.0,31950.0,399080.0,229920.0,355.0,1.12%,629000.0,Trailing Stop (7% drop) - exactly 7.41% drop
"Jul 22, 2018",NMB,BUY,86.0,354.0,-30444.0,451467.0,161063.0,0.0,0.00%,612530.0,Trend Entry (Str: 0.01)
"Aug 02, 2018",NMB,SELL,86.0,318.0,27348.0,293423.0,310873.0,-3096.0,-10.17%,604296.0,Trailing Stop (7% drop) - exactly 12.88% drop
"Sep 13, 2018",NMB,BUY,79.0,352.0,-27808.0,5.0,640695.0,0.0,0.00%,640700.0,Trend Entry (Str: 0.09)
"Oct 03, 2018",NMB,SELL,79.0,350.0,27650.0,149572.0,475184.0,-158.0,-0.57%,624756.0,Trailing Stop (7% drop) - exactly 7.16% drop
"Oct 11, 2018",NMB,BUY,86.0,356.0,-30616.0,278518.0,340864.0,0.0,0.00%,619382.0,Trend Entry (Str: 0.03)
"Dec 25, 2018",NMB,SELL,86.0,336.0,28896.0,228040.0,368998.0,-1720.0,-5.62%,597038.0,Trailing Stop (7% drop) - exactly 14.29% drop
"Mar 13, 2019",NMB,BUY,89.0,324.0,-28836.0,186014.0,390827.0,0.0,0.00%,576841.0,Trend Entry (Str: 0.04)
"Nov 07, 2019",NMB,SELL,89.0,347.0,30883.0,192414.0,390782.0,2047.0,7.10%,583196.0,Trailing Stop (7% drop) - exactly 12.37% drop
"Nov 27, 2019",NMB,BUY,75.0,383.0,-28725.0,214295.0,362374.0,0.0,0.00%,576669.0,Trend Entry (Str: 0.00)
"Dec 22, 2019",NMB,SELL,75.0,326.0,24450.0,120703.0,452205.0,-4275.0,-14.88%,572908.0,Trailing Stop (7% drop) - exactly 19.11% drop
"Jan 30, 2020",NMB,BUY,85.0,366.0,-31110.0,24602.0,598503.0,0.0,0.00%,623105.0,Trend Entry (Str: 0.06)
"Mar 02, 2020",NMB,SELL,85.0,463.0,39355.0,415464.0,296956.0,8245.0,26.50%,712420.0,Trailing Stop (7% drop) - exactly 7.03% drop
"Jul 20, 2020",NMB,BUY,78.0,443.0,-34554.0,409567.0,289532.0,0.0,0.00%,699099.0,Trend Entry (Str: 0.10)
"Aug 05, 2020",NMB,SELL,78.0,410.0,31980.0,163524.0,491424.0,-2574.0,-7.45%,654948.0,Trailing Stop (7% drop) - exactly 7.45% drop
"Aug 10, 2020",NMB,BUY,76.0,429.0,-32604.0,316751.0,339655.0,0.0,0.00%,656406.0,Trend Entry (Str: 0.05)
"Dec 06, 2020",NMB,SELL,76.0,445.0,33820.0,93496.0,778585.0,1216.0,3.73%,872081.0,Trailing Stop (7% drop) - exactly 7.10% drop
"Dec 13, 2020",NMB,BUY,96.0,454.0,-43584.0,227008.0,651402.0,0.0,0.00%,878410.0,Trend Entry (Str: 0.04)
"Dec 28, 2020",NMB,SELL,96.0,423.0,40608.0,298741.0,565593.0,-2976.0,-6.83%,864334.0,Trailing Stop (7% drop) - exactly 7.44% drop
"Feb 02, 2021",NMB,BUY,112.0,434.0,-48608.0,416930.0,560358.0,0.0,0.00%,977288.0,Trend Entry (Str: 0.02)
"Feb 28, 2021",NMB,SELL,112.0,430.0,48160.0,495384.0,511605.0,-448.0,-0.92%,1006989.0,Trailing Stop (7% drop) - exactly 9.28% drop
"Jun 08, 2021",NMB,BUY,163.0,456.0,-74328.0,288827.0,1202724.0,0.0,0.00%,1491551.0,Trend Entry (Str: 0.07)
"Aug 17, 2021",NMB,SELL,163.0,473.0,77099.0,77197.3,1699473.2,2771.0,3.73%,1776670.5,Trailing Stop (7% drop) - exactly 7.40% drop
"Nov 08, 2021",NMB,BUY,195.0,414.0,-80730.0,70664.1,1544732.5,0.0,0.00%,1615396.6,Trend Entry (Str: 0.01)
"Nov 28, 2021",NMB,SELL,195.0,379.0,73905.0,919875.6,573732.0,-6825.0,-8.45%,1493607.6,Trailing Stop (7% drop) - exactly 8.45% drop
"Jul 19, 2022",NMB,BUY,231.0,267.9,-61884.9,47951.8,1190982.68,0.0,0.00%,1238934.48,Trend Entry (Str: 0.04)
"Aug 14, 2022",NMB,SELL,231.0,250.9,57957.9,894905.89,392708.4,-3927.0,-6.35%,1287614.29,Trailing Stop (7% drop) - exactly 7.76% drop
"Nov 01, 2022",NMB,BUY,252.0,249.0,-62748.0,679204.89,579767.0,0.0,0.00%,1258971.89,Trend Entry (Str: 0.05)
"Dec 06, 2022",NMB,SELL,252.0,236.7,59648.4,178006.19,1019255.4,-3099.6,-4.94%,1197261.59,Trailing Stop (7% drop) - exactly 8.22% drop
"Jan 12, 2023",NMB,BUY,257.0,246.0,-63222.0,266392.89,1000054.2,0.0,0.00%,1266447.09,Trend Entry (Str: 0.03)
"Feb 15, 2023",NMB,SELL,257.0,232.9,59855.3,328724.99,851336.0,-3366.7,-5.33%,1180060.99,Trailing Stop (7% drop) - exactly 7.21% drop
"Apr 16, 2023",NMB,BUY,245.0,235.0,-57575.0,981367.39,174435.0,0.0,0.00%,1155802.39,Trend Entry (Str: 0.05)
"May 31, 2023",NMB,SELL,245.0,221.0,54145.0,280728.69,838047.8,-3430.0,-5.96%,1118776.49,Trailing Stop (7% drop) - exactly 7.53% drop
"Aug 03, 2023",NMB,BUY,259.0,239.0,-61901.0,792515.79,449934.2,0.0,0.00%,1242449.99,Trend Entry (Str: 0.03)
"Sep 03, 2023",NMB,SELL,259.0,221.3,57316.7,779383.49,441890.3,-4584.3,-7.41%,1221273.79,Trailing Stop (7% drop) - exactly 7.41% drop
"Mar 17, 2024",NMB,BUY,284.0,194.3,-55181.2,496761.49,610143.1,0.0,0.00%,1106904.59,Trend Entry (Str: 0.04)
"Mar 27, 2024",NMB,SELL,284.0,180.3,51205.2,51459.09,1025766.4,-3976.0,-7.21%,1077225.49,Trailing Stop (7% drop) - exactly 7.21% drop
"May 19, 2024",NMB,BUY,311.0,183.0,-56913.0,52202.49,1088853.5,0.0,0.00%,1141055.99,Trend Entry (Str: 0.05)
"May 30, 2024",NMB,SELL,311.0,197.0,61267.0,61415.99,1090618.7,4354.0,7.65%,1152034.69,Trailing Stop (7% drop) - exactly 7.29% drop
"Jun 03, 2024",NMB,BUY,82.0,200.0,-16400.0,86.29,1147447.9,0.0,0.00%,1147534.19,Trend Entry (Str: 0.10)
"Jun 27, 2024",NMB,SELL,82.0,185.0,15170.0,123263.39,1017653.3,-1230.0,-7.50%,1140916.69,Trailing Stop (7% drop) - exactly 7.50% drop
"Oct 08, 2024",NMB,BUY,292.0,270.8,-79073.6,1346165.79,238320.6,0.0,0.00%,1584486.39,Trend Entry (Str: 0.06)
"Oct 23, 2024",NMB,SELL,292.0,263.9,77058.8,77222.79,1476757.2,-2014.8,-2.55%,1553979.99,Trailing Stop (7% drop) - exactly 7.18% drop
"Nov 10, 2024",NMB,BUY,306.0,264.0,-80784.0,48561.89,1571093.0,0.0,0.00%,1619654.89,Trend Entry (Str: 0.01)
"Dec 08, 2024",NMB,SELL,306.0,243.0,74358.0,807775.39,861557.2,-6426.0,-7.95%,1669332.59,Trailing Stop (7% drop) - exactly 9.33% drop
"Feb 04, 2025",NMB,BUY,333.0,245.9,-81884.7,1055174.79,584488.7,0.0,0.00%,1639663.49,Trend Entry (Str: 0.02)
"Mar 23, 2025",NMB,SELL,333.0,243.09,80948.97,1129873.76,520012.16,-935.73,-1.14%,1649885.92,Trailing Stop (7% drop) - exactly 9.13% drop
"May 27, 2025",NMB,BUY,320.0,251.39,-80444.8,392279.33,1218787.92,0.0,0.00%,1611067.25,Trend Entry (Str: 0.04)
"Jun 22, 2025",NMB,SELL,320.0,235.23,75273.6,446000.74,1069801.33,-5171.2,-6.43%,1515802.07,Trailing Stop (7% drop) - exactly 7.41% drop
"Jul 07, 2025",NMB,BUY,310.0,249.22,-77258.2,343978.2,1201830.5,0.0,0.00%,1545808.7,Trend Entry (Str: 0.02)
"Aug 03, 2025",NMB,SELL,310.0,257.61,79859.1,258165.08,1377818.39,2600.9,3.37%,1635983.47,Trailing Stop (7% drop) - exactly 7.01% drop
"Nov 26, 2025",NMB,BUY,317.0,251.8,-79820.6,556608.04,1044839.5,0.0,0.00%,1601447.54,Trend Entry (Str: 0.05)
"Dec 24, 2025",NMB,SELL,317.0,235.1,74526.7,638297.64,939507.3,-5293.9,-6.63%,1577804.94,Trailing Stop (7% drop) - exactly 9.58% drop
"Jan 24, 2016",PCBL,SELL,34.0,510.0,17340.0,439901.0,154588.0,11900.0,218.75%,594489.0,Take Profit (100% up) - exactly 218.75% up
"Feb 08, 2016",PCBL,BUY,60.0,510.0,-30600.0,183969.0,428202.0,0.0,0.00%,612171.0,Trend Entry (Str: 0.00)
"Jun 05, 2016",PCBL,SELL,60.0,635.0,38100.0,175792.0,534523.0,7500.0,24.51%,710315.0,Trailing Stop (7% drop) - exactly 9.93% drop
"Jun 09, 2016",PCBL,BUY,50.0,697.0,-34850.0,302614.0,402834.0,0.0,0.00%,705448.0,Trend Entry (Str: 0.06)
"Aug 03, 2016",PCBL,SELL,50.0,698.0,34900.0,273929.0,565062.0,50.0,0.14%,838991.0,Trailing Stop (7% drop) - exactly 23.63% drop
"Sep 08, 2016",PCBL,BUY,56.0,713.0,-39928.0,129027.0,670163.0,0.0,0.00%,799190.0,Trend Entry (Str: 0.02)
"Sep 20, 2016",PCBL,SELL,56.0,661.0,37016.0,200700.0,577579.0,-2912.0,-7.29%,778279.0,Trailing Stop (7% drop) - exactly 7.29% drop
"Mar 15, 2017",PCBL,BUY,97.0,376.0,-36472.0,274777.0,459477.0,0.0,0.00%,734254.0,Trend Entry (Str: 0.01)
"Apr 18, 2017",PCBL,SELL,97.0,438.0,42486.0,164724.0,640907.0,6014.0,16.49%,805631.0,Trailing Stop (7% drop) - exactly 8.56% drop
"Apr 23, 2017",PCBL,BUY,89.0,466.0,-41474.0,87901.0,746682.0,0.0,0.00%,834583.0,Trend Entry (Str: 0.09)
"May 21, 2017",PCBL,SELL,89.0,431.0,38359.0,542516.0,221581.0,-3115.0,-7.51%,764097.0,Trailing Stop (7% drop) - exactly 7.51% drop
"Jul 12, 2017",PCBL,BUY,88.0,425.0,-37400.0,581421.0,173213.0,0.0,0.00%,754634.0,Trend Entry (Str: 0.03)
"Sep 04, 2017",PCBL,SELL,88.0,422.0,37136.0,636580.0,84199.0,-264.0,-0.71%,720779.0,Trailing Stop (7% drop) - exactly 7.86% drop
"Oct 16, 2017",PCBL,BUY,80.0,445.0,-35600.0,563215.0,157176.0,0.0,0.00%,720391.0,Trend Entry (Str: 0.03)
"Dec 19, 2017",PCBL,SELL,80.0,420.0,33600.0,123294.0,542709.0,-2000.0,-5.62%,666003.0,Trailing Stop (7% drop) - exactly 7.49% drop
"Feb 14, 2018",PCBL,BUY,105.0,307.0,-32235.0,406169.0,240997.0,0.0,0.00%,647166.0,Trend Entry (Str: 0.01)
"Mar 12, 2018",PCBL,SELL,105.0,292.0,30660.0,588456.0,45979.0,-1575.0,-4.89%,634435.0,Trailing Stop (7% drop) - exactly 7.01% drop
"Apr 17, 2018",PCBL,BUY,106.0,299.0,-31694.0,88089.0,551758.0,0.0,0.00%,639847.0,Trend Entry (Str: 0.03)
"May 06, 2018",PCBL,SELL,106.0,320.0,33920.0,351828.0,286040.0,2226.0,7.02%,637868.0,Trailing Stop (7% drop) - exactly 7.25% drop
"May 20, 2018",PCBL,BUY,98.0,320.0,-31360.0,344429.0,285192.0,0.0,0.00%,629621.0,Trend Entry (Str: 0.02)
"Jun 10, 2018",PCBL,SELL,98.0,295.0,28910.0,548198.0,68836.0,-2450.0,-7.81%,617034.0,Trailing Stop (7% drop) - exactly 7.81% drop
"Jul 25, 2018",PCBL,BUY,106.0,287.0,-30422.0,417695.0,191498.0,0.0,0.00%,609193.0,Trend Entry (Str: 0.00)
"Oct 09, 2018",PCBL,SELL,106.0,320.0,33920.0,342089.0,277674.0,3498.0,11.50%,619763.0,Trailing Stop (7% drop) - exactly 7.51% drop
"Oct 14, 2018",PCBL,BUY,93.0,335.0,-31155.0,216547.0,408071.0,0.0,0.00%,624618.0,Trend Entry (Str: 0.03)
"Dec 05, 2018",PCBL,SELL,93.0,312.0,29016.0,498080.0,99575.0,-2139.0,-6.87%,597655.0,Trailing Stop (7% drop) - exactly 7.69% drop
"Dec 23, 2018",PCBL,BUY,88.0,340.0,-29920.0,319390.0,284214.0,0.0,0.00%,603604.0,Trend Entry (Str: 0.05)
